"Nom";"Dispo_alim";"Prod_viande";"Import_viande";"Export_viande";"Population";"Part_export";"Dispo_alim_pays"
"Afghanistan";2240;313;45;0;37171921;0;83265103040
"Afrique du Sud";2857;3447;448;135;57792518;0.04;165113223926
"Albanie";3301;79;33;NA;2882740;NA;9515924740
"Algérie";3487;799;24;1;42228408;0;147250458696
"Allemagne";3628;7822;2421;3344;83124418;0.43;301575388504
"Angola";2390;342;314;0;30809787;0;73635390930
"Antigua-et-Barbuda";2420;0;8;0;96286;NA;233012120
"Arabie saoudite";3312;1209;802;67;33702756;0.06;111623527872
"Argentine";3338;6227;39;992;44361150;0.16;148077518700
"Arménie";3215;107;47;1;2951745;0.01;9489860175
"Australie";3422;4797;275;1976;24898152;0.41;85201476144
"Autriche";3698;872;341;481;8891388;0.55;32880352824
"Azerbaïdjan";3414;346;48;0;9949537;0;33967719318
"Bahamas";2528;7;45;NA;385637;NA;974890336
"Bahreïn";3484;41;101;0;1569446;0;5467949864
"Bangladesh";2575;706;7;0;161376708;0;415545023100
"Barbade";3009;19;11;0;286641;0;862502769
"Belgique";3815;1804;687;1639;11482178;0.91;43804509070
"Belize";2768;22;9;0;383071;0;1060340528
"Bhoutan";3287;7;4;NA;754388;NA;2479673356
"Bolivie (État plurinational de)";2485;922;7;24;11353142;0.03;28212557870
"Bosnie-Herzégovine";3348;89;68;17;3323925;0.19;11128500900
"Botswana";2595;65;9;8;2254068;0.12;5849306460
"Brésil";3343;29346;62;8269;209469323;0.28;700255946789
"Bulgarie";2894;203;285;61;7051608;0.3;20407353552
"Burkina Faso";2743;716;0;0;19751466;0;54178271238
"Burundi";1744;36;1;0;11175374;0;19489852256
"Bélarus";3313;1262;64;436;9452617;0.35;31316520121
"Bénin";2848;85;92;0;11485044;0;32709405312
"Cabo Verde";2613;5;17;NA;543767;NA;1420863171
"Cambodge";2770;182;35;0;16249792;0;45011923840
"Cameroun";2794;306;3;0;25216267;0;70454249998
"Canada";3583;5194;778;2291;37074562;0.44;132838155646
"Chili";3154;1600;489;456;18729160;0.28;59071770640
"Chine";3337;76680;11558;885;NA;0.01;NA
"Chine - RAS de Hong-Kong";3199;155;1288;130;7371730;0.84;23582164270
"Chine - RAS de Macao";3120;9;62;NA;631636;NA;1970704320
"Chine, Taiwan Province de";2985;1612;490;11;23726460;0.01;70823483100
"Chine, continentale";3344;74905;9718;743;1427647786;0.01;4774054196384
"Chypre";3087;79;27;2;1189265;0.03;3671261055
"Colombie";2960;2820;200;46;49661048;0.02;146996702080
"Comores";2323;2;27;NA;832322;NA;1933484006
"Congo";2220;59;164;0;5244359;0;11642476980
"Costa Rica";3032;295;45;48;4999441;0.16;15158305112
"Croatie";3161;230;182;57;4156405;0.25;13138396205
"Cuba";3339;223;473;NA;11338134;NA;37858029426
"Côte d'Ivoire";2977;289;25;0;25069230;0;74631097710
"Danemark";3453;1886;405;1660;5752126;0.88;19862091078
"Djibouti";2804;11;4;0;958923;0;2688820092
"Dominique";2928;1;4;NA;71625;NA;209718000
